movie,year,imdb,metascore,votes,n_imdb
Before We Go,2014,6.9,31,31492,69
Time Lapse,2014,6.5,50,31452,65
Maps to the Stars,2014,6.2,67,30656,62
Cake,2014,6.4,49,29582,64
Winter Sleep,2014,8.2,88,28719,82
Cold in July,2014,6.8,73,28074,68
The Salvation,2014,6.8,64,27673,68
Black Sea,2014,6.4,62,27616,64
Pawn Sacrifice,2014,7,65,27393,70
Annie,2014,5.3,33,27354,53
Love & Mercy,2014,7.4,80,27268,74
Step Up All In,2014,6,45,27235,60
Left Behind,2014,3.1,12,27112,31
Jersey Boys,2014,6.8,54,27104,68
Star Wars: The Force Awakens,2015,8.1,81,662862,81
Mad Max: Fury Road,2015,8.1,90,634122,81
The Martian,2015,8,80,557170,80
Avengers: Age of Ultron,2015,7.4,66,517857,74
The Revenant,2015,8,76,500445,80
Jurassic World,2015,7,59,455742,70
Inside Out,2015,8.2,94,417747,82
Ant-Man,2015,7.3,64,369842,73
The Hateful Eight,2015,7.8,68,341984,78
Spectre,2015,6.8,60,309373,68
Furious 7,2015,7.2,67,301757,72
Spotlight,2015,8.1,93,269211,81
Misiune Imposibila: Natiunea Rebela,2015,7.4,75,257807,74
The Big Short,2015,7.8,81,247078,78
Fifty Shades of Grey,2015,4.1,46,244749,41
Sicario,2015,7.6,82,243837,76
Room,2015,8.2,86,224876,82
Bridge of Spies,2015,7.6,81,218384,76
Terminator Genisys,2015,6.5,38,205662,65
The Man from U.N.C.L.E.,2015,7.3,56,203424,73
The Hunger Games: Mockingjay - Part 2,2015,6.6,65,202870,66
Chappie,2015,6.9,41,189005,69
Spy,2015,7.1,75,188283,71
Creed,2015,7.6,82,175971,76
Insurgent,2015,6.3,42,172272,63
Lovitura de stanga,2015,7.4,57,169480,74
Focus,2015,6.6,56,166710,66
San Andreas,2015,6.1,43,161806,61
Minions,2015,6.4,56,160190,64
The Intern,2015,7.1,51,159879,71
Maze Runner: The Scorch Trials,2015,6.3,43,159659,63
Everest,2015,7.1,64,154927,71
Jupiter Ascending,2015,5.3,40,150275,53
Tomorrowland,2015,6.5,60,143299,65
Straight Outta Compton,2015,7.9,72,140161,79
Ted 2,2015,6.3,48,136640,63
Black Mass,2015,6.9,68,135918,69
Fantastic Four,2015,4.3,27,122013,43
The Lobster,2015,7.1,82,121848,71
Cinderella,2015,7,67,117245,70
Steve Jobs,2015,7.2,82,116377,72
The Age of Adaline,2015,7.2,51,112551,72
The Danish Girl,2015,7,66,111030,70
Legend,2015,7,55,109164,70
Pitch Perfect 2,2015,6.5,63,108467,65
O tipa... dezastru,2015,6.3,75,106583,63
The Witch,2015,6.8,83,102240,68
Pixels,2015,5.6,27,101315,56
Joy,2015,6.6,56,97907,66
Crimson Peak,2015,6.6,66,97688,66
The Gift,2015,7.1,77,96900,71
Get Hard,2015,6,34,95301,60
Brooklyn,2015,7.5,87,95178,75
The Walk,2015,7.3,70,92534,73
Me and Earl and the Dying Girl,2015,7.8,74,92271,78
In the Heart of the Sea,2015,6.9,47,90565,69
Run All Night,2015,6.6,59,83013,66
The Visit,2015,6.2,55,81685,62
Carol,2015,7.2,95,78177,72
Home,2015,6.7,55,77565,67
The Good Dinosaur,2015,6.8,66,77398,68
Burnt,2015,6.6,42,76657,66
Vacation,2015,6.1,34,74708,61
Paper Towns,2015,6.3,56,72665,63
The Last Witch Hunter,2015,6,34,71342,60
Hitman: Agent 47,2015,5.7,28,70745,57
Hotel Transylvania 2,2015,6.7,44,69349,67
Daddy's Home,2015,6.1,42,68468,61
Self/less,2015,6.5,34,67310,65
Dope,2015,7.3,72,66518,73
Entourage,2015,6.6,38,64624,66
American Ultra,2015,6.1,50,64289,61
Insidious: Capitolul 3,2015,6.1,52,63631,61
Project Almanac,2015,6.4,47,63367,64
Green Room,2015,7,79,63209,70
Concussion,2015,7.1,55,61426,71
Hardcore Henry,2015,6.7,51,61344,67
Demolition,2015,7,49,59011,70
The Wedding Ringer,2015,6.7,35,58979,67
The Longest Ride,2015,7.1,33,58544,71
Eye in the Sky,2015,7.3,73,58054,73
No Escape,2015,6.8,38,58021,68
The DUFF,2015,6.5,56,57955,65
Goosebumps,2015,6.3,60,57703,63
Trumbo,2015,7.5,60,57644,75
Knock Knock,2015,4.9,53,53583,49
Youth,2015,7.3,64,52758,73
Mortdecai,2015,5.5,27,52140,55
Beasts of No Nation,2015,7.8,79,50385,78
Sisters,2015,6,58,50339,60
Mr. Holmes,2015,6.9,67,49295,69
Pan,2015,5.8,36,47933,58
Child 44,2015,6.5,41,47810,65
Bone Tomahawk,2015,7.1,72,47478,71
Poltergeist,2015,5,47,46090,50
Aloha,2015,5.4,40,45197,54
Anomalisa,2015,7.2,88,44756,72
Point Break,2015,5.3,34,44656,53
The Night Before,2015,6.4,58,44110,64
Blackhat,2015,5.4,51,43155,54
Magic Mike XXL,2015,5.7,60,42561,57
Krampus,2015,6.2,49,42205,62
True Story,2015,6.3,50,42163,63
Macbeth,2015,6.7,71,41739,67
The Invitation,2015,6.7,74,40769,67
Irrational Man,2015,6.6,53,40261,66
Wild Card,2015,5.6,40,40231,56
Woman in Gold,2015,7.3,51,39845,73
The Little Prince,2015,7.8,70,39560,78
Hot Pursuit,2015,5.1,31,39118,51
Victor Frankenstein,2015,6,36,38137,60
The SpongeBob Movie: Sponge Out of Water,2015,6,62,37368,60
Man Up,2015,6.8,69,37114,68
Solace,2015,6.4,36,36426,64
Amy,2015,7.8,85,36236,78
Victoria,2015,7.7,77,34581,77
Far from the Madding Crowd,2015,7.1,71,34332,71
Maggie,2015,5.6,52,34058,56
The Peanuts Movie,2015,7.1,67,33774,71
The Dressmaker,2015,7.1,47,33519,71
Slow West,2015,6.9,72,31978,69
The Lazarus Effect,2015,5.2,31,31804,52
Scouts Guide to the Zombie Apocalypse,2015,6.3,32,31715,63
Dark Places,2015,6.2,39,31697,62
Sinister 2,2015,5.3,32,31378,53
The Gunman,2015,5.8,39,31266,58
The Ridiculous 6,2015,4.8,18,31222,48
The Transporter Refueled,2015,5.1,32,30816,51
Hot Tub Time Machine 2,2015,5.1,29,30736,51
Last Knights,2015,6.2,27,30735,62
Son of Saul,2015,7.5,89,30507,75
The Colony,2015,7.1,33,30221,71
The Boy Next Door,2015,4.6,30,30219,46
Mr. Right,2015,6.3,52,30205,63
The Man Who Knew Infinity,2015,7.2,56,30133,72
Ip Man 3,2015,7.1,57,29691,71
Going Clear: Scientology and the Prison of Belief,2015,8.1,80,28505,81
Sleeping with Other People,2015,6.5,64,27813,65
Secret in Their Eyes,2015,6.2,45,27676,62
Shaun the Sheep Movie,2015,7.4,81,27196,74
Suffragette,2015,6.9,67,27079,69
"McFarland, USA",2015,7.4,60,26807,74
The 33,2015,6.9,55,26805,69
Absolutely Anything,2015,6,31,26672,60
Regression,2015,5.7,32,26435,57
Paul Blart: Mall Cop 2,2015,4.4,13,26274,44
High-Rise,2015,5.7,65,26034,57
We Are Your Friends,2015,6.2,46,25980,62
Unfinished Business,2015,5.4,32,25421,54
The Second Best Exotic Marigold Hotel,2015,6.6,51,25061,66
Survivor,2015,5.6,26,24239,56
Love,2015,6,51,24082,60
Mustang,2015,7.7,83,23632,77
Danny Collins,2015,7,58,23632,70
The Final Girls,2015,6.6,59,23539,66
Cop Car,2015,6.3,66,23409,63
Deadpool,2016,8,65,629939,80
Batman v Superman: Dawn of Justice,2016,6.7,44,473264,67
Captain America: Civil War,2016,7.9,75,413273,79
Suicide Squad,2016,6.2,40,395940,62
Arrival,2016,8,81,343917,80
Rogue One,2016,7.9,65,325926,79
Zootopia,2016,8.1,78,298235,81
Doctor Strange,2016,7.6,72,296442,76
X-Men: Apocalypse,2016,7.1,52,276995,71
La La Land,2016,8.3,93,262084,83
Fantastic Beasts and Where to Find Them,2016,7.4,66,234253,74
Hacksaw Ridge,2016,8.2,71,214634,82
The Jungle Book,2016,7.5,77,198820,75
Passengers,2016,7,41,195303,70
10 Cloverfield Lane,2016,7.2,76,193675,72
Warcraft: The Beginning,2016,7,32,188163,70
The Nice Guys,2016,7.4,70,175955,74
Star Trek Beyond,2016,7.1,68,165269,71
The Accountant,2016,7.4,51,163318,74
Split,2016,7.3,62,162153,73
Finding Dory,2016,7.4,77,157927,74
Jaful perfect,2016,6.5,46,157248,65
Jason Bourne,2016,6.7,58,151826,67
The Promise,2016,5.9,49,149937,59
Ghostbusters,2016,5.3,60,148312,53
Sully,2016,7.5,74,138634,75
The Conjuring 2,2016,7.4,65,137730,74
Moonlight,2016,7.5,99,136726,75
Manchester by the Sea,2016,7.9,96,135913,79
Independence Day: Resurgence,2016,5.3,32,128249,53
Nocturnal Animals,2016,7.5,67,127409,75
The Magnificent Seven,2016,6.9,54,123603,69
Don't Breathe,2016,7.2,71,122024,72
Sausage Party,2016,6.3,66,121349,63
The Secret Life of Pets,2016,6.6,61,121254,66
Moana,2016,7.7,81,119960,77
The Legend of Tarzan,2016,6.3,44,118472,63
Hell or High Water,2016,7.7,88,116409,77
Assassin's Creed,2016,5.9,36,114511,59
Me Before You,2016,7.4,51,113992,74
War Dogs,2016,7.1,57,107236,71
Captain Fantastic,2016,7.9,72,106058,79
Lion,2016,8.1,69,103989,81
The Girl on the Train,2016,6.5,48,102917,65
Miss Peregrine's Home for Peculiar Children,2016,6.7,57,101572,67
London Has Fallen,2016,5.9,28,100995,59
Inferno,2016,6.2,42,98218,62
Central Intelligence,2016,6.3,52,97660,63
Hidden Figures,2016,7.8,74,95053,78
Deepwater Horizon,2016,7.2,68,90702,72
Kung Fu Panda 3,2016,7.2,66,90072,72
"Hail, Caesar!",2016,6.3,72,89331,63
Snowden,2016,7.3,58,80443,73
Allied,2016,7.1,60,79036,71
Jack Reacher: Never Go Back,2016,6.1,47,78713,61
The Shallows,2016,6.4,59,78712,64
13 Hours,2016,7.3,48,77254,73
Neighbors 2: Sorority Rising,2016,5.7,58,76693,57
Dirty Grandpa,2016,6,18,75482,60
Gods of Egypt,2016,5.5,25,73823,55
Kubo and the Two Strings,2016,7.9,84,73318,79
The 5th Wave,2016,5.2,33,73260,52
Allegiant,2016,5.7,33,70790,57
Lights Out,2016,6.4,58,70343,64
Nerve,2016,6.6,58,70073,66
Money Monster,2016,6.5,55,68903,65
Bad Moms,2016,6.2,60,67207,62
The Huntsman: Winter's War,2016,6.1,35,66987,61
The Brothers Grimsby,2016,6.2,44,63602,62
Swiss Army Man,2016,7.1,64,62219,71
Sing,2016,7.2,59,61988,72
How to Be Single,2016,6.1,51,60095,61
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6,40,59630,60
Train to Busan,2016,7.5,72,59403,75
The Great Wall,2016,6.1,42,59132,61
Alice Through the Looking Glass,2016,6.2,34,57514,62
Eddie the Eagle,2016,7.4,54,56557,74
The Angry Birds Movie,2016,6.3,43,56000,63
Midnight Special,2016,6.7,76,54981,67
The Purge: Election Year,2016,6,55,54596,60
Mike and Dave Need Wedding Dates,2016,6,51,53553,60
Hunt for the Wilderpeople,2016,7.9,81,52735,79
Sing Street,2016,8,79,52498,80
Fences,2016,7.3,79,51626,73
The Boy,2016,6,42,51465,60
The BFG,2016,6.4,66,51174,64
The Neon Demon,2016,6.2,51,50688,62
Silence,2016,7.3,79,49962,73
Why Him?,2016,6.3,39,49372,63
Triple 9,2016,6.3,52,48566,63
Mechanic: Resurrection,2016,5.6,38,48448,56
Zoolander 2,2016,4.7,34,48446,47
The Edge of Seventeen,2016,7.4,77,48311,74
Resident Evil: The Final Chapter,2016,5.6,49,47130,56
Hush,2016,6.6,67,46141,66
Café Society,2016,6.7,64,45819,67
Collateral Beauty,2016,6.8,23,44827,68
The Finest Hours,2016,6.8,58,44545,68
The Infiltrator,2016,7.1,66,44193,71
Bridget Jones's Baby,2016,6.6,59,43352,66
Underworld: Blood Wars,2016,5.8,23,41940,58
Jackie,2016,6.8,81,41924,68
Patriots Day,2016,7.4,69,40575,74
Blood Father,2016,6.4,66,40540,64
A Monster Calls,2016,7.5,76,39944,75
Trolls,2016,6.5,56,39032,65
Criminal,2016,6.3,36,38634,63
Ride Along 2,2016,5.9,32,38589,59
The Founder,2016,7.2,66,38243,72
The Autopsy of Jane Doe,2016,6.8,65,36619,68
Pete's Dragon,2016,6.8,71,36601,68
Everybody Wants Some!!,2016,7,83,36517,70
Whiskey Tango Foxtrot,2016,6.6,57,36313,66
Elle,2016,7.2,89,35703,72
Pride and Prejudice and Zombies,2016,5.8,45,35106,58
Your Name,2016,8.6,79,34903,86
Ice Age: Collision Course,2016,5.7,34,34786,57
Storks,2016,6.9,56,34642,69
The Handmaiden,2016,8.1,84,33935,81
The Fundamentals of Caring,2016,7.4,55,33104,74
Keanu,2016,6.3,63,32090,63
Florence Foster Jenkins,2016,6.9,71,32011,69
Office Christmas Party,2016,5.8,42,31324,58
Popstar: Never Stop Never Stopping,2016,6.7,68,31010,67
Keeping Up with the Joneses,2016,5.8,34,30736,58
Ouija: Origin of Evil,2016,6.1,65,30242,61
Free State of Jones,2016,6.9,53,30134,69
The Boss,2016,5.4,40,29778,54
The Forest,2016,4.8,34,28945,48
Ben-Hur,2016,5.7,38,28529,57
Live by Night,2016,6.4,49,28386,64
Imperium,2016,6.5,68,27683,65
The Light Between Oceans,2016,7.2,60,27655,72
Masterminds,2016,5.8,47,26802,58
A Hologram for the King,2016,6.1,58,26681,61
Paterson,2016,7.4,90,26651,74
Blair Witch,2016,5.1,47,26244,51
The Do-Over,2016,5.7,22,24869,57
Toni Erdmann,2016,7.6,93,24667,76
Anthropoid,2016,7.2,59,24310,72
The Girl with All the Gifts,2016,6.7,67,24211,67
Race,2016,7.1,56,23841,71
"I, Daniel Blake",2016,7.9,77,23378,79
The Salesman,2016,8,85,22760,80
Morgan,2016,5.8,48,22275,58
The Take,2016,6.3,48,21249,63
My Big Fat Greek Wedding 2,2016,6,37,21034,60
The Choice,2016,6.6,26,20639,66
Mother's Day,2016,5.6,18,20366,56
Gold,2016,6.7,49,19896,67
American Honey,2016,7,79,19862,70
Miss Sloane,2016,7.4,64,18484,74
Risen,2016,6.3,51,18174,63
The Wailing,2016,7.5,81,18136,75
Logan,2017,8.3,77,282718,83
Guardians of the Galaxy Vol. 2,2017,8.1,67,148125,81
Beauty and the Beast,2017,7.6,65,116859,76
Get Out,2017,7.9,84,111945,79
John Wick: Chapter 2,2017,7.9,75,102170,79
Kong: Skull Island,2017,6.9,62,94337,69
The Fate of the Furious,2017,7.1,56,80974,71
Alien: Covenant,2017,6.8,65,68477,68
Ghost in the Shell,2017,6.7,52,63732,67
Fifty Shades Darker,2017,4.6,33,46271,46
The LEGO Batman Movie,2017,7.5,75,45387,75
xXx: Return of Xander Cage,2017,5.2,42,44456,52
Life,2017,6.9,54,41664,69
T2 Trainspotting,2017,7.6,67,35433,76
Pirates of the Caribbean: Dead Men Tell No Tales,2017,7.2,39,31679,72
Power Rangers,2017,6.8,44,28015,68
A Dog's Purpose,2017,6.5,43,25756,65
The Boss Baby,2017,6.4,50,24261,64
Rings,2017,4.5,25,18783,45
The Space Between Us,2017,6.4,33,15143,64
I Don't Feel at Home in This World Anymore,2017,7,75,12907,70
The Ottoman Lieutenant,2017,8.6,26,12552,86
Sleepless,2017,5.5,34,12295,55
The Discovery,2017,6.3,55,11933,63
Fist Fight,2017,5.7,37,11190,57
Gifted,2017,7.8,60,10043,78
iBoy,2017,6,50,9193,60
Going in Style,2017,6.8,50,8494,68
Before I Fall,2017,6.4,58,7875,64
The Shack,2017,6.3,32,7526,63
The Circle,2017,5.3,43,7487,53
The Bye Bye Man,2017,4.3,37,7415,43
Snatched,2017,3.6,45,7321,36
War Machine,2017,6.2,55,6650,62
Sandy Wexler,2017,5.1,40,6601,51
Aftermath,2017,5.7,44,5970,57
Sand Castle,2017,6.3,45,5721,63
Baywatch,2017,5.6,37,4782,56
Wonder Woman,2017,8.4,79,3913,84
Smurfs: The Lost Village,2017,5.8,40,3730,58
The Zookeeper's Wife,2017,7.2,57,3526,72
CHIPS,2017,5.6,28,3482,56
XX,2017,4.6,64,3069,46
Win It All,2017,6.3,78,2874,63
Bad Kids of Crestview Academy,2017,7,22,2864,70
Gong fu yu jia,2017,5.4,50,2771,54
Voice from the Stone,2017,5.3,42,2513,53
Table 19,2017,5.8,40,2447,58
Small Crimes,2017,5.9,60,2315,59
All Nighter,2017,5.7,37,2076,57
Song to Song,2017,6.5,53,1913,65
